Id,ActivityDate,TotalSteps,TotalDistance,TrackerDistance,LoggedActivitiesDistance,VeryActiveDistance,ModeratelyActiveDistance,LightActiveDistance,SedentaryActiveDistance,VeryActiveMinutes,FairlyActiveMinutes,LightlyActiveMinutes,SedentaryMinutes,Calories
,2023-01-01,6120.260996671456,,,,,,,,,,,866.3950698967965,1990.227217862471
,2023-01-02,3261.733411009918,,,,,,,,,,,866.7971158813941,1891.8845932479483
,2023-01-03,5117.793697385012,,,,,,,,,,,874.50870094676,1863.5249930665482
,2023-01-04,3576.650663185017,,,,,,,,,,,866.8486284329936,1898.6252173676319
,2023-01-05,4442.663073417672,,,,,,,,,,,864.3073132598425,1874.754450648882
,2023-01-06,5601.845735450567,,,,,,,,,,,876.5964534153785,1986.839637251789
,2023-01-07,4950.02349287976,,,,,,,,,,,871.1753417386872,1956.0931724975815
,2023-01-08,4214.7200922408465,,,,,,,,,,,897.5598948287403,1882.8253826109299
,2023-01-09,4530.998552859035,,,,,,,,,,,835.2354528741048,1908.9024248167902
,2023-01-10,5568.249084446246,,,,,,,,,,,891.372602778837,1916.7242901086204
,2023-01-11,4640.1431312062805,,,,,,,,,,,893.6912778874645,1930.0683541435383
,2023-01-12,5359.645725768251,,,,,,,,,,,843.8991465138778,1991.3384278419996
,2023-01-13,5294.419049000883,,,,,,,,,,,869.8596860887948,1911.8400738323178
,2023-01-14,4858.282628480918,,,,,,,,,,,869.4283870100631,1958.9699357201685
,2023-01-15,6864.367123983585,,,,,,,,,,,853.8873245792327,1974.914470236062
,2023-01-16,5853.710285796883,,,,,,,,,,,863.3327496861368,1935.5339520179887
,2023-01-17,4035.73258453571,,,,,,,,,,,858.3413623180126,1911.0254308742665
,2023-01-18,5624.0778134912125,,,,,,,,,,,901.2840566513544,1919.2782446315455
,2023-01-19,5067.266224593092,,,,,,,,,,,889.035175897212,1922.6330627744867
,2023-01-20,6160.784950890462,,,,,,,,,,,894.0733264249124,1928.107311464745
,2023-01-21,5039.379392597947,,,,,,,,,,,885.8250809606485,2022.571273676597
,2023-01-22,5540.289165560681,,,,,,,,,,,858.0642234317415,1959.7045182377458
,2023-01-23,5996.867907766102,,,,,,,,,,,867.1321960058034,1943.350062759328
,2023-01-24,6268.41400141629,,,,,,,,,,,882.3406184184188,1987.6567393269772
,2023-01-25,4837.360279386888,,,,,,,,,,,856.6680828666208,1933.717171709135
,2023-01-26,5454.7231688857,,,,,,,,,,,885.6949764525858,1947.0104494154052
,2023-01-27,5363.80524046017,,,,,,,,,,,871.395119027628,1977.8182463005992
,2023-01-28,5242.391739574271,,,,,,,,,,,869.377687886756,1980.0829295325857
,2023-01-29,6935.046361060447,,,,,,,,,,,885.6643995230523,1976.9241358401632
,2023-01-30,5978.274352852094,,,,,,,,,,,881.6639496722906,1947.7751090271297
,2023-01-31,4803.794340244276,,,,,,,,,,,869.5855075127138,1926.2491989780565
,2023-02-01,6316.637179448087,,,,,,,,,,,892.3899470504637,1888.3985013948077
,2023-02-02,7143.49903678929,,,,,,,,,,,858.7840500860016,1943.492329991752
,2023-02-03,6360.759578400408,,,,,,,,,,,884.2390341041639,2036.4109586520783
,2023-02-04,4550.773119063773,,,,,,,,,,,883.8965188695257,1995.8207976561591
,2023-02-05,5247.998463321023,,,,,,,,,,,870.3568034102901,1939.9813716554886
,2023-02-06,6442.852449198878,,,,,,,,,,,879.8919953336317,2007.14377707077
,2023-02-07,5026.222329208638,,,,,,,,,,,856.2332963542204,1956.0563584448453
,2023-02-08,5794.4781555448235,,,,,,,,,,,888.8604052881035,2088.7117510680614
,2023-02-09,5985.023663494993,,,,,,,,,,,872.2264679533552,2015.78367255724
,2023-02-10,4749.800474435389,,,,,,,,,,,867.1591546922144,1930.5918813246376
,2023-02-11,5309.897995497762,,,,,,,,,,,890.7351383875533,1913.489753675919
,2023-02-12,3032.7894990078894,,,,,,,,,,,864.4348446418586,1822.3932757327796
,2023-02-13,4532.077349535156,,,,,,,,,,,853.8730805545466,1937.626469707122
,2023-02-14,5017.3571260694325,,,,,,,,,,,851.6505623971415,1913.0990309334686
,2023-02-15,4263.427830418925,,,,,,,,,,,884.0901492701846,1864.922075342348
,2023-02-16,6220.1888295759945,,,,,,,,,,,855.7935597125557,1951.8567654753274
,2023-02-17,4015.125886151055,,,,,,,,,,,901.3219127297655,1871.455962316883
,2023-02-18,4645.218417556869,,,,,,,,,,,843.7710588817441,2000.2061916188131
,2023-02-19,4980.300735480939,,,,,,,,,,,900.4468455243506,1977.5598970060048
,2023-02-20,5831.926675381509,,,,,,,,,,,878.1652620080392,1966.307570786807
,2023-02-21,3751.1215927021476,,,,,,,,,,,873.5493033219441,1966.3726682042338
,2023-02-22,5502.786049740099,,,,,,,,,,,866.8262136978658,1960.3171908699076
,2023-02-23,4627.460181405716,,,,,,,,,,,880.9870417152811,1897.7617799870327
,2023-02-24,3864.5706238718712,,,,,,,,,,,874.4354794636273,1971.3412666299828
,2023-02-25,4806.258816058426,,,,,,,,,,,891.5495282302478,1958.8780822061985
,2023-02-26,4553.344536471351,,,,,,,,,,,876.7134147299306,1888.6057120118376
,2023-02-27,3925.3503730457473,,,,,,,,,,,877.2545264219282,1904.539320677963
,2023-02-28,4326.371635221112,,,,,,,,,,,869.5458168167921,1888.5858880137844
,2023-03-01,3940.531003005863,,,,,,,,,,,874.145815644184,1857.2746108473084
,2023-03-02,4223.406758547685,,,,,,,,,,,879.6170265333809,1957.7158664311996
,2023-03-03,4542.302191247997,,,,,,,,,,,849.3474741101506,2006.156728225891
,2023-03-04,5125.274996089874,,,,,,,,,,,854.7772186684143,1890.493725506945
,2023-03-05,3086.441118611055,,,,,,,,,,,886.1489614103407,1910.7028014279388
,2023-03-06,5385.684889912698,,,,,,,,,,,877.5629815719192,1927.8510083754898
,2023-03-07,2467.7490966367914,,,,,,,,,,,872.2402499547098,1851.0221016961775
,2023-03-08,3671.8015576051844,,,,,,,,,,,875.2765089959809,1881.2128589620218
,2023-03-09,4136.090132309654,,,,,,,,,,,880.213725580425,1883.6143729930832
,2023-03-10,3869.7327890330603,,,,,,,,,,,866.9036047953596,1912.5046590901661
,2023-03-11,3188.641271221799,,,,,,,,,,,863.3254291189653,1857.8660316641813
,2023-03-12,3433.2195423348353,,,,,,,,,,,877.9376788264652,1908.9102599550458
,2023-03-13,3191.2105585903973,,,,,,,,,,,860.3244083357745,1889.1679201531886
,2023-03-14,3084.3340948366877,,,,,,,,,,,881.1237913357171,1878.565909406392
,2023-03-15,4055.490983373391,,,,,,,,,,,849.4612459364324,1879.5686244718615
,2023-03-16,3677.9812190490275,,,,,,,,,,,890.4373345598847,1882.0143244643816
,2023-03-17,2913.8629320462696,,,,,,,,,,,882.0889622361956,1913.4688756629237
,2023-03-18,4003.073257370431,,,,,,,,,,,878.8404460147082,1934.4102091441302
,2023-03-19,3566.6252202395663,,,,,,,,,,,889.7403647591827,1862.8013679291885
,2023-03-20,3902.4616472323983,,,,,,,,,,,899.9821166669386,1915.472196423809
,2023-03-21,3759.980797604043,,,,,,,,,,,890.215550975272,1937.4835077235587
,2023-03-22,2728.6131796932823,,,,,,,,,,,847.3868865300253,1811.1841653178103
,2023-03-23,2910.372678823651,,,,,,,,,,,855.8063454989644,1904.8879128044446
,2023-03-24,3823.136391047622,,,,,,,,,,,865.6277213345649,1882.7275179578126
,2023-03-25,3728.771380184998,,,,,,,,,,,875.3913657531625,1929.3602718918692
,2023-03-26,3292.307395952354,,,,,,,,,,,882.7648853070368,1863.535559336938
,2023-03-27,3398.421126331199,,,,,,,,,,,864.1138428026981,1824.902462440025
,2023-03-28,4223.907172118718,,,,,,,,,,,877.8015014671562,1855.5813645452083
,2023-03-29,2932.5442871681585,,,,,,,,,,,863.6692560147002,1885.7103774998313
,2023-03-30,3750.5113723728505,,,,,,,,,,,865.8272329551207,1917.546367850941
,2023-03-31,3250.6349351571425,,,,,,,,,,,853.9000835472766,1856.7026188574562
,2023-04-01,3268.0661141582536,,,,,,,,,,,861.1515013083365,1918.9170158984737
,2023-04-02,4221.413430534207,,,,,,,,,,,854.724730915755,1854.151009810219
,2023-04-03,4065.336507363952,,,,,,,,,,,860.36190120534,1913.5092796930776
,2023-04-04,4095.6098743916136,,,,,,,,,,,890.8046269491176,1868.5767769921192
,2023-04-05,4481.801913652147,,,,,,,,,,,860.7590166675209,1901.9780389351179
,2023-04-06,3627.550975190906,,,,,,,,,,,914.4857309725609,1905.5402604295396
,2023-04-07,4138.017087444498,,,,,,,,,,,882.3997685132133,1883.812525029913
,2023-04-08,3494.027837439325,,,,,,,,,,,877.7725418554231,1884.4471450147878
,2023-04-09,3991.2919710123047,,,,,,,,,,,862.1246332972818,1954.2886258260721
,2023-04-10,3728.8577543932793,,,,,,,,,,,885.5046481911348,1883.4631182017392
,2023-04-11,3945.6758899428846,,,,,,,,,,,866.3654326064334,1946.1612813381166
,2023-04-12,4354.25758273648,,,,,,,,,,,876.8301472196804,1879.219085320452
,2023-04-13,3426.6131986017886,,,,,,,,,,,913.4012680740319,1919.0954013623766
